index,disease_name,description,Possible Steps,image_url
19,Pepper bell : Bacterial Spot,"Bacterial spot causes water-soaked leaf lesions that turn brown with yellow halos. The disease spreads rapidly in warm, wet conditions and can defoliate plants, leading to sunscalded fruit.","1. Use pathogen-free seed
2. Rotate crops for 2-3 years
3. Apply copper bactericides preventively
4. Avoid working with wet plants
5. Space plants for good air flow
6. Remove infected plant debris",https://www.gardeningknowhow.com/wp-content/uploads/2016/07/pepper-bacterial-spot.jpg
20,Pepper bell : Healthy,"Healthy pepper plants have deep green leaves, sturdy stems, and abundant fruit set. Bell peppers are rich in vitamin C (especially red varieties), vitamin A, and various antioxidants.","1. Use row covers for early plantings
2. Maintain even soil moisture
3. Stake plants for fruit support
4. Harvest regularly to promote production
5. Monitor for blossom end rot
6. Fertilize with calcium nitrate",https://www.gardeningknowhow.com/wp-content/uploads/2021/07/healthy-bell-pepper.jpg
21,Potato : Early Blight,"Early blight causes concentric ring lesions on leaves and stems, progressing from lower leaves upward. The fungus survives in soil and plant debris, spreading during warm, humid weather with alternating wet/dry periods.","1. Rotate crops for 3-4 years
2. Use certified disease-free seed potatoes
3. Apply chlorothalonil or copper fungicides
4. Maintain adequate potassium levels
5. Hill plants to prevent tuber exposure
6. Destroy volunteer potato plants",https://www.gardeningknowhow.com/wp-content/uploads/2017/06/potato-early-blight.jpg
22,Potato : Late Blight,"Late blight causes water-soaked lesions that rapidly expand in cool, wet weather. The same pathogen caused the Irish Potato Famine and can destroy entire fields in favorable conditions.","1. Plant resistant varieties like 'Defender'
2. Apply fungicides before infection
3. Destroy cull piles and volunteers
4. Avoid overhead irrigation
5. Harvest before vines die completely
6. Cure tubers properly before storage",https://www.gardeningknowhow.com/wp-content/uploads/2017/06/potato-late-blight.jpg
23,Potato : Healthy,"Healthy potato plants have sturdy stems, uniform leaf color, and well-developed tubers. Potatoes provide complex carbohydrates, vitamin B6, and more potassium than bananas.","1. Plant when soil reaches 45°F
2. Hill plants when 6-8 inches tall
3. Maintain consistent moisture
4. Use straw mulch for weed control
5. Harvest after vines die back
6. Store in cool, dark conditions",https://www.gardeningknowhow.com/wp-content/uploads/2021/07/healthy-potato-plants.jpg
24,Raspberry : Healthy,"Healthy raspberry canes have bright green leaves, sturdy upright growth, and productive fruiting laterals. Raspberries are exceptionally high in ellagic acid, a compound with potential anti-cancer properties.","1. Prune floricanes after fruiting
2. Maintain narrow rows (12-18 inches)
3. Use trellising for support
4. Apply balanced fertilizer in spring
5. Renew planting every 8-10 years
6. Harvest every 2-3 days at peak season",https://www.gardeningknowhow.com/wp-content/uploads/2021/07/healthy-raspberry-canes.jpg
25,Soybean : Healthy,"Healthy soybean plants have trifoliate leaves with uniform color and well-filled pods. Soybeans provide complete plant protein, isoflavones, and omega-3 fatty acids beneficial for heart health.","1. Inoculate seed with rhizobia bacteria
2. Plant when soil reaches 55°F
3. Maintain proper pH (6.0-6.8)
4. Control weeds early
5. Harvest when pods are dry but before shattering
6. Rotate with corn or small grains",https://www.gardeningknowhow.com/wp-content/uploads/2021/07/healthy-soybean-field.jpg
26,Squash : Powdery Mildew,"Powdery mildew appears as white fungal patches on leaves that eventually turn brown and crisp. Unlike other fungi, it thrives in humid conditions without free water and can reduce yields by affecting photosynthesis.","1. Plant resistant varieties
2. Apply baking soda solution (1 tbsp/gallon)
3. Use neem oil or sulfur sprays
4. Space plants for good air circulation
5. Remove severely infected leaves
6. Avoid overhead watering",https://www.gardeningknowhow.com/wp-content/uploads/2017/06/squash-powdery-mildew.jpg
27,Strawberry : Leaf Scorch,"Leaf scorch causes small purple spots that coalesce into larger lesions with dark fruiting bodies. The fungus overwinters in infected leaves and spreads during wet conditions, potentially defoliating plants.","1. Remove old leaves after harvest
2. Apply fungicides during flower bud emergence
3. Use drip irrigation instead of overhead
4. Renovate beds annually
5. Space plants properly
6. Rotate planting sites every 3-4 years",https://www.gardeningknowhow.com/wp-content/uploads/2017/06/strawberry-leaf-scorch.jpg
28,Strawberry : Healthy,"Healthy strawberry plants have dark green leaves, vigorous runners, and abundant fruit production. Strawberries are exceptionally high in vitamin C and manganese, with anti-inflammatory benefits.","1. Renew beds after 3-4 years
2. Apply straw mulch for weed control
3. Remove first-year flowers on June bearers
4. Irrigate during fruit development
5. Protect blooms from late frosts
6. Harvest when fully red",https://www.gardeningknowhow.com/wp-content/uploads/2021/07/healthy-strawberry-plants.jpg
29,Tomato : Bacterial Spot,"Bacterial spot causes small, water-soaked leaf lesions that turn brown with yellow halos. The disease spreads rapidly in warm, wet weather and can defoliate plants, reducing fruit quality and yield.","1. Use disease-free seed
2. Treat seeds with hot water (122°F for 25 minutes)
3. Apply copper bactericides preventively
4. Stake plants for better air flow
5. Avoid working with wet plants
6. Rotate crops for 2-3 years",https://www.gardeningknowhow.com/wp-content/uploads/2017/06/tomato-bacterial-spot.jpg
30,Tomato : Early Blight,"Early blight causes concentric bull's-eye lesions on leaves, stems, and fruit. The fungus survives in plant debris and spreads during warm, humid weather with alternating wet/dry periods.","1. Rotate crops for 3-4 years
2. Apply chlorothalonil or copper fungicides
3. Remove lower leaves as plant grows
4. Mulch to prevent soil splash
5. Stake plants for better air circulation
6. Destroy infected plant debris",https://www.gardeningknowhow.com/wp-content/uploads/2017/06/tomato-early-blight.jpg
31,Tomato : Late Blight,"Late blight causes water-soaked lesions that rapidly expand under cool, wet conditions. The same pathogen caused the Irish Potato Famine and can destroy entire plantings in favorable weather.","1. Plant resistant varieties
2. Apply fungicides preventively
3. Avoid overhead irrigation
4. Remove volunteer tomato/potato plants
5. Space plants for good air flow
6. Destroy infected plants immediately",https://www.gardeningknowhow.com/wp-content/uploads/2017/06/tomato-late-blight.jpg
32,Tomato : Leaf Mold,"Leaf mold causes yellow upper leaf surfaces with olive-green fungal growth underneath. The disease thrives in high humidity (85%+) and can defoliate plants in greenhouse environments.","1. Reduce humidity through ventilation
2. Apply copper or potassium bicarbonate sprays
3. Space plants properly
4. Remove infected leaves promptly
5. Sterilize greenhouse structures annually
6. Use resistant varieties in protected culture",https://www.gardeningknowhow.com/wp-content/uploads/2017/06/tomato-leaf-mold.jpg
33,Tomato : Septoria Leaf Spot,"Septoria leaf spot causes small circular lesions with dark margins and light centers. The fungus spreads through rain splash and can defoliate plants from the bottom upward in wet weather.","1. Mulch to prevent soil splash
2. Remove infected lower leaves
3. Apply chlorothalonil fungicides
4. Rotate crops for 2-3 years
5. Avoid overhead irrigation
6. Destroy infected plant debris",https://www.gardeningknowhow.com/wp-content/uploads/2017/06/tomato-septoria-leaf-spot.jpg
34,Tomato : Spider Mites | Two-Spotted Spider Mite,"Spider mites cause stippling on leaves that progresses to bronzing and webbing. Populations explode in hot, dry conditions and can defoliate plants rapidly if unchecked.","1. Spray plants with strong water jets
2. Apply insecticidal soap or neem oil
3. Release predatory mites (Phytoseiulus persimilis)
4. Avoid broad-spectrum insecticides
5. Maintain proper irrigation
6. Remove severely infested leaves",https://www.gardeningknowhow.com/wp-content/uploads/2017/06/tomato-spider-mites.jpg
35,Tomato : Target Spot,"Target spot causes circular lesions with concentric rings on leaves, stems, and fruit. The disease spreads during warm, humid weather and can cause significant defoliation in tropical regions.","1. Use drip irrigation instead of overhead
2. Apply chlorothalonil fungicides
3. Stake plants for better air flow
4. Remove infected plant material
5. Rotate crops with non-solanaceous species
6. Avoid working with wet plants",https://www.gardeningknowhow.com/wp-content/uploads/2017/06/tomato-target-spot.jpg
36,Tomato : Yellow Leaf Curl Virus,"Tomato yellow leaf curl virus causes upward leaf curling, yellowing, and stunting. Spread by whiteflies, this disease can cause 100% yield loss in susceptible varieties without management.","1. Use resistant varieties
2. Control whiteflies with insecticides
3. Remove infected plants immediately
4. Use reflective mulch to deter whiteflies
5. Eliminate weed hosts
6. Screen greenhouse openings",https://www.gardeningknowhow.com/wp-content/uploads/2017/06/tomato-yellow-leaf-curl.jpg
37,Tomato : Mosaic Virus,"Tomato mosaic virus causes mottled light and dark green leaf patterns and stunted growth. The virus spreads mechanically through contact and can persist in plant debris for years.","1. Use certified disease-free seed
2. Disinfect tools with 10% bleach solution
3. Remove infected plants immediately
4. Control weed hosts
5. Wash hands before handling plants
6. Rotate crops for 2-3 years",https://www.gardeningknowhow.com/wp-content/uploads/2017/06/tomato-mosaic-virus.jpg
38,Tomato : Healthy,"Healthy tomato plants have dark green leaves, sturdy stems, and abundant fruit set. Tomatoes are rich in lycopene, an antioxidant linked to reduced risk of heart disease and certain cancers.","1. Plant when soil reaches 60°F
2. Bury stems deep when transplanting
3. Mulch to conserve moisture
4. Prune suckers on indeterminate varieties
5. Fertilize with balanced nutrients
6. Harvest at breaker stage for best flavor",https://www.gardeningknowhow.com/wp-content/uploads/2021/07/healthy-tomato-plant.jpg
